utterance_id	speaker_id
Artur-J-Gvecg-P500013.u142	Artur-J-G3016
Artur-J-Gvecg-P500013.u143	Artur-J-G3015
Artur-J-Gvecg-P500013.u144	Artur-J-G3018
Artur-J-Gvecg-P500013.u145	Artur-J-G3014
Artur-J-Gvecg-P500013.u146	Artur-J-G3017
Artur-J-Gvecg-P500013.u147	Artur-J-G3018
Artur-J-Gvecg-P500013.u16	Artur-J-G3016
Artur-J-Gvecg-P500013.u18	Artur-J-G3016
Artur-J-Gvecg-P500013.u20	Artur-J-G3016
Artur-J-Gvecg-P500013.u22	Artur-J-G3016
Artur-J-Gvecg-P500013.u24	Artur-J-G3018
Artur-J-Gvecg-P500013.u26	Artur-J-G3017
Artur-J-Gvecg-P500013.u28	Artur-J-G3017
Artur-J-Gvecg-P500013.u3	Artur-J-G3013
Artur-J-Gvecg-P500013.u30	Artur-J-G3017
Artur-J-Gvecg-P500013.u32	Artur-J-G3017
Artur-J-Gvecg-P500013.u34	Artur-J-G3017
Artur-J-Gvecg-P500013.u36	Artur-J-G3017
Artur-J-Gvecg-P500013.u38	Artur-J-G3017
Artur-J-Gvecg-P500013.u40	Artur-J-G3017
Artur-J-Gvecg-P500013.u41	Artur-J-G3018
Artur-J-Gvecg-P500013.u42	Artur-J-G3014
Artur-J-Gvecg-P500013.u43	Artur-J-G3018
Artur-J-Gvecg-P500013.u44	Artur-J-G3015
Artur-J-Gvecg-P500013.u45	Artur-J-G3018
Artur-J-Gvecg-P500013.u46	Artur-J-G3015
Artur-J-Gvecg-P500013.u48	Artur-J-G3017
Artur-J-Gvecg-P500013.u5	Artur-J-G3018
Artur-J-Gvecg-P500013.u50	Artur-J-G3017
Artur-J-Gvecg-P500013.u52	Artur-J-G3017
Artur-J-Gvecg-P500013.u54	Artur-J-G3017
Artur-J-Gvecg-P500013.u56	Artur-J-G3017
Artur-J-Gvecg-P500013.u58	Artur-J-G3017
Artur-J-Gvecg-P500013.u6	Artur-J-G3016
Artur-J-Gvecg-P500013.u60	Artur-J-G3017
Artur-J-Gvecg-P500013.u62	Artur-J-G3017
Artur-J-Gvecg-P500013.u64	Artur-J-G3017
Artur-J-Gvecg-P500013.u66	Artur-J-G3017
Artur-J-Gvecg-P500013.u68	Artur-J-G3017
Artur-J-Gvecg-P500013.u70	Artur-J-G3017
Artur-J-Gvecg-P500013.u72	Artur-J-G3017
Artur-J-Gvecg-P500013.u74	Artur-J-G3017
Artur-J-Gvecg-P500013.u76	Artur-J-G3017
Artur-J-Gvecg-P500013.u78	Artur-J-G3014
Artur-J-Gvecg-P500013.u8	Artur-J-G3016
Artur-J-Gvecg-P500013.u80	Artur-J-G3016
Artur-J-Gvecg-P500013.u82	Artur-J-G3016
Artur-J-Gvecg-P500013.u84	Artur-J-G3018
Artur-J-Gvecg-P500013.u86	Artur-J-G3018
Artur-J-Gvecg-P500013.u87	Artur-J-G3042
Artur-J-Gvecg-P500013.u88	Artur-J-G3016
Artur-J-Gvecg-P500013.u89	Artur-J-G3015
Artur-J-Gvecg-P500013.u90	Artur-J-G3018
Artur-J-Gvecg-P500013.u91	Artur-J-G3016
Artur-J-Gvecg-P500013.u92	Artur-J-G3017
Artur-J-Gvecg-P500013.u94	Artur-J-G3017
Artur-J-Gvecg-P500013.u96	Artur-J-G3017
Artur-J-Gvecg-P500013.u98	Artur-J-G3017
Artur-J-Gvecg-P500014.u1	Artur-J-G3018
Artur-J-Gvecg-P500014.u11	Artur-J-G3019
Artur-J-Gvecg-P500014.u13	Artur-J-G3019
Artur-J-Gvecg-P500014.u14	Artur-J-G3018
Artur-J-Gvecg-P500014.u15	Artur-J-G3019
Artur-J-Gvecg-P500014.u17	Artur-J-G3018
Artur-J-Gvecg-P500014.u18	Artur-J-G3019
Artur-J-Gvecg-P500014.u19	Artur-J-G3018
Artur-J-Gvecg-P500014.u20	Artur-J-G3018
Artur-J-Gvecg-P500014.u22	Artur-J-G3018
Artur-J-Gvecg-P500014.u23	Artur-J-G3020
Artur-J-Gvecg-P500014.u25	Artur-J-G3018
Artur-J-Gvecg-P500014.u26	Artur-J-G3020
Artur-J-Gvecg-P500014.u28	Artur-J-G3018
Artur-J-Gvecg-P500014.u29	Artur-J-G3021
Artur-J-Gvecg-P500014.u3	Artur-J-G3018
Artur-J-Gvecg-P500014.u31	Artur-J-G3018
Artur-J-Gvecg-P500014.u33	Artur-J-G3018
Artur-J-Gvecg-P500014.u34	Artur-J-G3020
Artur-J-Gvecg-P500014.u36	Artur-J-G3018
Artur-J-Gvecg-P500014.u37	Artur-J-G3020
Artur-J-Gvecg-P500014.u38	Artur-J-G3018
Artur-J-Gvecg-P500014.u40	Artur-J-G3019
Artur-J-Gvecg-P500014.u42	Artur-J-G3019
Artur-J-Gvecg-P500014.u44	Artur-J-G3018
Artur-J-Gvecg-P500014.u45	Artur-J-G3019
Artur-J-Gvecg-P500014.u47	Artur-J-G3019
Artur-J-Gvecg-P500014.u49	Artur-J-G3018
Artur-J-Gvecg-P500014.u5	Artur-J-G3019
Artur-J-Gvecg-P500014.u51	Artur-J-G3018
Artur-J-Gvecg-P500014.u52	Artur-J-G3021
Artur-J-Gvecg-P500014.u54	Artur-J-G3018
Artur-J-Gvecg-P500014.u55	Artur-J-G3020
Artur-J-Gvecg-P500014.u57	Artur-J-G3018
Artur-J-Gvecg-P500014.u58	Artur-J-G3020
Artur-J-Gvecg-P500014.u59	Artur-J-G3021
Artur-J-Gvecg-P500014.u61	Artur-J-G3021
Artur-J-Gvecg-P500014.u63	Artur-J-G3018
Artur-J-Gvecg-P500014.u64	Artur-J-G3020
Artur-J-Gvecg-P500014.u66	Artur-J-G3018
Artur-J-Gvecg-P500014.u68	Artur-J-G3019
Artur-J-Gvecg-P500014.u7	Artur-J-G3019
Artur-J-Gvecg-P500014.u70	Artur-J-G3018
Artur-J-Gvecg-P500014.u72	Artur-J-G3018
Artur-J-Gvecg-P500014.u73	Artur-J-G3021
Artur-J-Gvecg-P500014.u75	Artur-J-G3018
Artur-J-Gvecg-P500014.u76	Artur-J-G3020
Artur-J-Gvecg-P500014.u78	Artur-J-G3018
Artur-J-Gvecg-P500014.u9	Artur-J-G3018
Artur-J-Gvecg-P500015.u10	Artur-J-G3022
Artur-J-Gvecg-P500015.u11	Artur-J-G3018
Artur-J-Gvecg-P500015.u12	Artur-J-G3024
Artur-J-Gvecg-P500015.u13	Artur-J-G3018
Artur-J-Gvecg-P500015.u14	Artur-J-G3022
Artur-J-Gvecg-P500015.u16	Artur-J-G3018
Artur-J-Gvecg-P500015.u17	Artur-J-G3022
Artur-J-Gvecg-P500015.u19	Artur-J-G3018
Artur-J-Gvecg-P500015.u2	Artur-J-G3018
Artur-J-Gvecg-P500015.u20	Artur-J-G3024
Artur-J-Gvecg-P500015.u22	Artur-J-G3018
Artur-J-Gvecg-P500015.u24	Artur-J-G3023
Artur-J-Gvecg-P500015.u26	Artur-J-G3018
Artur-J-Gvecg-P500015.u27	Artur-J-G3022
Artur-J-Gvecg-P500015.u29	Artur-J-G3018
Artur-J-Gvecg-P500015.u3	Artur-J-G3022
Artur-J-Gvecg-P500015.u31	Artur-J-G3018
Artur-J-Gvecg-P500015.u32	Artur-J-G3024
Artur-J-Gvecg-P500015.u33	Artur-J-G3018
Artur-J-Gvecg-P500015.u34	Artur-J-G3024
Artur-J-Gvecg-P500015.u36	Artur-J-G3018
Artur-J-Gvecg-P500015.u37	Artur-J-G3024
Artur-J-Gvecg-P500015.u38	Artur-J-G3018
Artur-J-Gvecg-P500015.u39	Artur-J-G3023
Artur-J-Gvecg-P500015.u4	Artur-J-G3018
Artur-J-Gvecg-P500015.u41	Artur-J-G3018
Artur-J-Gvecg-P500015.u42	Artur-J-G3022
Artur-J-Gvecg-P500015.u44	Artur-J-G3018
Artur-J-Gvecg-P500015.u45	Artur-J-G3024
Artur-J-Gvecg-P500015.u47	Artur-J-G3018
Artur-J-Gvecg-P500015.u49	Artur-J-G3022
Artur-J-Gvecg-P500015.u50	Artur-J-G3023
Artur-J-Gvecg-P500015.u51	Artur-J-G3022
Artur-J-Gvecg-P500015.u53	Artur-J-G3023
Artur-J-Gvecg-P500015.u55	Artur-J-G3018
Artur-J-Gvecg-P500015.u56	Artur-J-G3024
Artur-J-Gvecg-P500015.u58	Artur-J-G3018
Artur-J-Gvecg-P500015.u59	Artur-J-G3023
Artur-J-Gvecg-P500015.u6	Artur-J-G3018
Artur-J-Gvecg-P500015.u61	Artur-J-G3018
Artur-J-Gvecg-P500015.u63	Artur-J-G3018
Artur-J-Gvecg-P500015.u64	Artur-J-G3018
Artur-J-Gvecg-P500015.u66	Artur-J-G3018
Artur-J-Gvecg-P500015.u68	Artur-J-G3022
Artur-J-Gvecg-P500015.u69	Artur-J-G3018
Artur-J-Gvecg-P500015.u7	Artur-J-G3024
Artur-J-Gvecg-P500015.u70	Artur-J-G3023
Artur-J-Gvecg-P500015.u71	Artur-J-G3018
Artur-J-Gvecg-P500015.u72	Artur-J-G3024
Artur-J-Gvecg-P500015.u73	Artur-J-G3018
Artur-J-Gvecg-P500015.u74	Artur-J-G3024
Artur-J-Gvecg-P500015.u76	Artur-J-G3018
Artur-J-Gvecg-P500015.u77	Artur-J-G3024
Artur-J-Gvecg-P500015.u9	Artur-J-G3018
Artur-J-Gvecg-P500016.u10	Artur-J-G3025
Artur-J-Gvecg-P500016.u12	Artur-J-G3018
Artur-J-Gvecg-P500016.u13	Artur-J-G3025
Artur-J-Gvecg-P500016.u15	Artur-J-G3018
